实体原文,实体类型,出现次数,建议译法（人工填写）,校验结果（通过/修改）,上下文
Pedro Domingos,PERSON,1,,,"n (2009), one of the early pioneers of the field. Pedro Domingos (2015) and Melanie Mitchell (2019) give overviews"
Melanie Mitchell,PERSON,1,,, pioneers of the field. Pedro Domingos (2015) and Melanie Mitchell (2019) give overviews of machine learning for a g
Martin Ford,PERSON,1,,,ibes the race for international leadership in AI. Martin Ford (2018) interviews 23 leading AI researchers.
the ACM Special Interest Group,ORG,1,,,"he Advancement of Artificial Intelligence (AAAI), the ACM Special Interest Group in Artificial Intelligence (SIGAI, formerly SIGAR"
Artificial Intelligence,GPE,1,,,"ligence (AAAI), the ACM Special Interest Group in Artificial Intelligence (SIGAI, formerly SIGART), the European Associatio"
the European Association for AI,ORG,1,,,"Artificial Intelligence (SIGAI, formerly SIGART), the European Association for AI, and the Society for Artificial Intelligence and "
the Society for Artificial Intelligence and Simulation of Behaviour,ORG,1,,,"rly SIGART), the European Association for AI, and the Society for Artificial Intelligence and Simulation of Behaviour (AISB). The Partnership on AI brings together man"
The Partnership on AI,ORG,1,,, Intelligence and Simulation of Behaviour (AISB). The Partnership on AI brings together many commercial and nonprofit org
AAAI,ORG,2,,,"cerned with the ethical and social impacts of AI. AAAI’s
AI Magazine
contains many topical and tutorial "
the International Joint Conference on AI (IJCAI,ORG,1,,,"s in the proceedings of the major AI conferences: the International Joint Conference on AI (IJCAI), the annual European Conference on AI (ECAI), an"
European Conference on AI,ORG,1,,,"tional Joint Conference on AI (IJCAI), the annual European Conference on AI (ECAI), and the AAAI Conference. Machine learning"
the AAAI Conference,ORG,1,,," the annual European Conference on AI (ECAI), and the AAAI Conference. Machine learning is covered by the International"
the International Conference on Machine Learning,ORG,1,,,e AAAI Conference. Machine learning is covered by the International Conference on Machine Learning and the Neural Information Processing Systems (Ne
the Neural Information Processing Systems,ORG,1,,, International Conference on Machine Learning and the Neural Information Processing Systems (NeurIPS) meeting. The major journals for general
Artificial Intelligence,ORG,2,,,"S) meeting. The major journals for general AI are
Artificial Intelligence, Computational Intelligence,
the
IEEE Transaction"
Pattern Analysis,ORG,1,,,"putational Intelligence,
the
IEEE Transactions on Pattern Analysis and Machine Intelligence, IEEE Intelligent System"
"the
Journal of Artificial Intelligence Research",ORG,1,,,"chine Intelligence, IEEE Intelligent Systems,
and the
Journal of Artificial Intelligence Research
. There are also many conferences and journals de"
Ruy Lopez,ORG,1,,,"3
In one of the first books on chess, Ruy Lopez (1561) wrote, “Always place the board so the sun "
"Aristotle’s
Organon",ORG,1,,,"nent’s eyes.”
4
The
Novum Organum
is an update of Aristotle’s
Organon
, or instrument of thought."
Frege’s,ORG,1,,,"5
Frege’s proposed notation for first-order logic—an arcane"
Alexander Hood,PERSON,1,,,"7
Many cite Alexander Hood (1824) as a possible prior source."
Cajal,PERSON,1,,,"us medium in which neurons were embedded, whereas Cajal propounded the “neuronal doctrine.” The two share"
Carnegie Mellon University,ORG,1,,,"11
Now Carnegie Mellon University (CMU)."
CMU,ORG,1,,,"11
Now Carnegie Mellon University (CMU)."
IPL,PERSON,1,,,"d Simon also invented a list-processing language, IPL, to write LT. They had no compiler and translated"
Richard Thornton,PERSON,1,,,"15
Even earlier, in 1847, Richard Thornton, editor of the
Primitive Expounder,
railed agains"
"the
Primitive Expounder",ORG,1,,,"ven earlier, in 1847, Richard Thornton, editor of the
Primitive Expounder,
railed against mechanical calculators: “Mind ..."
keyboard/mouse,ORG,1,,," file contents, network packets, and human input (keyboard/mouse/touchscreen/voice) as sensory inputs and acts on "
Dirt,PERSON,5,,,"m-cleaning agent and dirt are shown in block ""A"". Dirt is shown in block B."
Actuators,ORG,5,,,ock. An arrow from the second block points to the Actuators. An arrow from the actuators points to a block la
Champs Elysées,ORG,1,,,der the following example: I am walking along the Champs Elysées one day and I see an old friend across the street
caterpillar,ORG,4,,,"r the burrow again to check all is well, drag the caterpillar inside, and lay its eggs. The caterpillar serves "
Nature of Environments,WORK_OF_ART,1,,,"2.3The Nature of Environments
2.3
The Nature of Environments
Now that we have a"
"The Nature of Environments
Now",WORK_OF_ART,1,,,"2.3The Nature of Environments
2.3
The Nature of Environments
Now that we have a definition of rationality, we are "
State,ORG,3,,,"from the second, third, and fourth blocks labeled State, How the world evolves, and What my actions do, p"
Alaska,GPE,1,,,"California, where snow is seldom a problem, or in Alaska, where it seldom is not. It could always be drivi"
Chess,ORG,2,,, number of distinct states (excluding the clock). Chess also has a discrete set of percepts and actions. 
2.4The Structure of Agents,WORK_OF_ART,1,,,"2.4The Structure of Agents
2.4
The Structure of Agents
So far we have talked"
"The Structure of Agents
So",WORK_OF_ART,1,,,"2.4The Structure of Agents
2.4
The Structure of Agents
So far we have talked about agents by describing
beh"
Critic,ORG,1,,," Performance standard, points to a block labeled, Critic. An arrow labeled, feedback, from the Critic bloc"
Learning,PERSON,3,,," from the Critic block points to a block labeled, Learning element. An arrow labeled, learning goals, from t"
Performance,ORG,1,,,ock. An arrow each from the sensors points to the Performance element and Critic block.
Newton,ORG,2,,,have now been replaced by a five-line program for Newton’s method running on electronic calculators. The q
Atomic,PERSON,2,,,"Description
Part (“a”), Atomic: An arrow from a block labeled B points to a bloc"
Schematic,ORG,1,,,"×
Figure 2.9
Schematic diagram of a simple reflex agent. We use rectangl"
Chapters 16,PERSON,1,,,"igner can specify the utility function correctly;
Chapters 16
,
17
, and
23
consider the issue of unknown utili"
Pisa,PERSON,1,,,nk that dropping rocks from the top of a tower in Pisa was valuable in itself. He was not trying to brea
Chapters 24,PRODUCT,1,,,"8
), and much of natural language understanding (
Chapters 24
and
25
). In fact, much of what humans express in"
Truce,PRODUCT,1,,,"we might confuse
Truck
with the unrelated concept
Truce."
"Aristotle’s
Nicomachean Ethics",ORG,1,,," practical reasoning—goes back at least as far as Aristotle’s
Nicomachean Ethics."
Programs with Common Sense,WORK_OF_ART,1,,,also the subject of McCarthy’s influential paper “Programs with Common Sense” (1958). The fields of robotics and control theor
Genesereth,PERSON,3,,,e agents. The discussion of agents in the text by Genesereth and Nilsson (1987) was an influential exception. 
Nilsson,ORG,9,,,iscussion of agents in the text by Genesereth and Nilsson (1987) was an influential exception. The whole-ag
Padgham,PERSON,1,,," accepted and is a central theme in recent texts (Padgham and Winikoff, 2004; Jones, 2007; Poole and Mackwo"
Winikoff,PERSON,1,,,"d is a central theme in recent texts (Padgham and Winikoff, 2004; Jones, 2007; Poole and Mackworth, 2017)."
Jones,GPE,1,,,"heme in recent texts (Padgham and Winikoff, 2004; Jones, 2007; Poole and Mackworth, 2017)."
Poole,PRODUCT,1,,,"t texts (Padgham and Winikoff, 2004; Jones, 2007; Poole and Mackworth, 2017)."
Mackworth,PERSON,4,,,"adgham and Winikoff, 2004; Jones, 2007; Poole and Mackworth, 2017)."
Jon Doyle,PERSON,1,,,er technical foundations of the field. A paper by Jon Doyle (1983) predicted that rational agent design would
Dorf,ORG,1,,,"tradition—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observ"
Bishop,ORG,5,,,"—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deter"
Kirk,GPE,1,,,"classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deterministic env"
Kumar,GPE,1,,,"inistic environments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) ha"
Varaiya,GPE,1,,,"vironments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partia"
Bertsekas,GPE,1,,,"chastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partially observable, s"
Henzinger and Sastry,ORG,1,,,"ble, stochastic environments; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with e"
Cassandras,PERSON,1,,,"; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments contai"
Lygeros,GPE,1,,,"ntrol (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments containing both di"
Rosenschein,PERSON,1,,,iew them as too simple to provide much leverage. (Rosenschein (1985) and Brooks (1986) questioned this assumpti
Brooks,ORG,1,,,"to provide much leverage. (Rosenschein (1985) and Brooks (1986) questioned this assumption; see
Chapter 26"
Bar-Shalom,ORG,1,,,"rithms for keeping track of complex environments (Bar-Shalom
et al.,
2001; Choset
et al.,
2005; Simon, 2006), "
Choset,PRODUCT,1,,,"of complex environments (Bar-Shalom
et al.,
2001; Choset
et al.,
2005; Simon, 2006), most of it in the pro"
Shoham,PERSON,1,,,alled agent-oriented programming was developed by Shoham (1993). The agent-based approach is now extremely
Ciancarini and Wooldridge,ORG,1,,,"is now extremely popular in software engineering (Ciancarini and Wooldridge, 2001). It has also infiltrated the area of opera"
Kephart,ORG,1,,,"a perceive–act loop and machine learning methods (Kephart and Chess, 2003). Noting that a collection of age"
Michael Bratman,PERSON,1,,, to the influential theory of agents developed by Michael Bratman (1987).
Feldman,PERSON,1,,,"tilities in favor of goals, with some exceptions (Feldman and Sproull, 1977). The resurgence of interest in"
Sproull,PERSON,1,,,"favor of goals, with some exceptions (Feldman and Sproull, 1977). The resurgence of interest in probabilist"
Horvitz,ORG,1,,,"s the most general framework for decision making (Horvitz
et al.,
1988). The text by Pearl (1988) was the f"
Sutton,GPE,1,,,"eoretic framework also contributed to this shift (Sutton, 1988). Somewhat remarkably, almost all AI resear"
Hadfield-Menell,ORG,1,,,"he form of a utility function or reward function (Hadfield-Menell
et al.,
2017a; Russell, 2019)."
Mitchell,PERSON,3,,,"chine learning literature (Buchanan
et al.,
1978; Mitchell, 1997). Examples of the design, as embodied in pr"
Huhns,ORG,1,,,papers on agent-based approaches are collected by Huhns and Singh (1998) and Wooldridge and Rao (1999). T
Singh,GPE,1,,,agent-based approaches are collected by Huhns and Singh (1998) and Wooldridge and Rao (1999). Texts on mu
Wooldridge,ORG,2,,,aches are collected by Huhns and Singh (1998) and Wooldridge and Rao (1999). Texts on multiagent systems provi
Rao,PERSON,1,,,cted by Huhns and Singh (1998) and Wooldridge and Rao (1999). Texts on multiagent systems provide a goo
Weiss,ORG,1,,,"ood introduction to many aspects of agent design (Weiss, 2000a; Wooldridge, 2009). Several conference ser"
the International Workshop on Agent Theories,ORG,1,,,"s devoted to agents began in the 1990s, including the International Workshop on Agent Theories, Architectures, and Languages (ATAL), the Interna"
the International Conference on Autonomous Agents,ORG,1,,,"nt Theories, Architectures, and Languages (ATAL), the International Conference on Autonomous Agents (AGENTS), and the International Conference on Mul"
the International Conference on Multi-Agent Systems,ORG,1,,,"nal Conference on Autonomous Agents (AGENTS), and the International Conference on Multi-Agent Systems (ICMAS). In 2002, these three merged to form the "
the International Joint Conference on Autonomous Agents,ORG,1,,,"tems (ICMAS). In 2002, these three merged to form the International Joint Conference on Autonomous Agents and Multi-Agent Systems (AAMAS). From 2000 to 201"
AOSE,ORG,1,,,"workshops on Agent-Oriented Software Engineering (AOSE). The journal
Autonomous Agents and Multi-Agent S"
Autonomous Agents,ORG,1,,,"Oriented Software Engineering (AOSE). The journal
Autonomous Agents and Multi-Agent Systems
was founded in 1998. Fina"
Dung Beetle Ecology,PERSON,1,,,"Multi-Agent Systems
was founded in 1998. Finally,
Dung Beetle Ecology
(Hanski and Cambefort, 1991) provides a wealth of"
Hanski and Cambefort,PERSON,1,,,"as founded in 1998. Finally,
Dung Beetle Ecology
(Hanski and Cambefort, 1991) provides a wealth of interesting informati"
N. Henderson,PERSON,1,,,"3
See N. Henderson, “New door latches urged for Boeing 747 jumbo jet"
Boeing,ORG,1,,,"3
See N. Henderson, “New door latches urged for Boeing 747 jumbo jets,”
Washington Post,
August 24, 1989"
747,PRODUCT,1,,," N. Henderson, “New door latches urged for Boeing 747 jumbo jets,”
Washington Post,
August 24, 1989."
Washington Post,ORG,1,,,"ew door latches urged for Boeing 747 jumbo jets,”
Washington Post,
August 24, 1989."
Problem-Solving Agents,ORG,1,,,"3.1Problem-Solving Agents
3.1
Problem-Solving Agents
Imagine an agent enjoying a touring vacation in R"
Romania,GPE,19,,,"s
Imagine an agent enjoying a touring vacation in Romania. The agent wants to take in the sights, improve i"
Arad,GPE,19,,,"ow, suppose the agent is currently in the city of Arad and has a nonrefundable ticket to fly out of Buch"
Arad,PERSON,37,,,"nd sees that there are three roads leading out of Arad: one toward Sibiu, one to Timisoara, and one to Z"
Sibiu,GPE,14,,,"e are three roads leading out of Arad: one toward Sibiu, one to Timisoara, and one to Zerind. None of the"
Timisoara,PERSON,16,,,"ads leading out of Arad: one toward Sibiu, one to Timisoara, and one to Zerind. None of these are the goal, s"
Zerind,PERSON,17,,,"d: one toward Sibiu, one to Timisoara, and one to Zerind. None of these are the goal, so unless the agent "
Iasi,GPE,2,,,"ws the distance in miles between cities. Neamt to Iasi, 87. Iasi to Valsui, 92. Vaslui to Urziceni, 142."
Valsui,ORG,1,,," miles between cities. Neamt to Iasi, 87. Iasi to Valsui, 92. Vaslui to Urziceni, 142. Urziceni to Hirsova"
Vaslui,PERSON,2,,,"en cities. Neamt to Iasi, 87. Iasi to Valsui, 92. Vaslui to Urziceni, 142. Urziceni to Hirsova, 98. Hirsov"
Hirsova,ORG,3,,," Valsui, 92. Vaslui to Urziceni, 142. Urziceni to Hirsova, 98. Hirsova to Eforie, 86. Urziceni to Bucharest"
Eforie,GPE,1,,,"rziceni, 142. Urziceni to Hirsova, 98. Hirsova to Eforie, 86. Urziceni to Bucharest, 85. Bucharest to Giur"
Bucharest,ORG,11,,,"o Hirsova, 98. Hirsova to Eforie, 86. Urziceni to Bucharest, 85. Bucharest to Giurgiu, 90. Bucharest to Pites"
Giurgiu,GPE,1,,,"orie, 86. Urziceni to Bucharest, 85. Bucharest to Giurgiu, 90. Bucharest to Pitesti, 101. Bucharest to Faga"
Fagaras,GPE,3,,,"rgiu, 90. Bucharest to Pitesti, 101. Bucharest to Fagaras, 211. Fagaras to Sibiu, 99. Pitesti to Craiova, 1"
Craiova,GPE,4,,,"to Fagaras, 211. Fagaras to Sibiu, 99. Pitesti to Craiova, 138. Pitesti to Rimnicu Vilcea, 97. Rimnicu Vilc"
Oradea,ORG,12,,,"Vilcea, 97. Rimnicu Vilcea to Sibiu, 80. Sibiu to Oradea, 151. Sibiu to Arad, 140. Arad to Zerind, 75. Zer"
Lugoj,ORG,10,,," Oradea, 71. Arad to Timisoara, 118. Timisoara to Lugoj, 111. Lugoj to Mehadia, 70. Mehadia to Drobeta, 7"
Mehadia,GPE,4,,,"Timisoara, 118. Timisoara to Lugoj, 111. Lugoj to Mehadia, 70. Mehadia to Drobeta, 75. Drobeta to Craiova, "
Drobeta,PERSON,5,,,"a to Lugoj, 111. Lugoj to Mehadia, 70. Mehadia to Drobeta, 75. Drobeta to Craiova, 120."
Sibiu,PERSON,38,,," problem is a fixed sequence of actions:
drive to Sibiu, then Fagaras, then Bucharest. If the model is co"
Road Closed,WORK_OF_ART,1,,,by accident or finds a sign saying “Drum Închis” (Road Closed).
OAL,ORG,4,,,"ee of these possibilities by specifying an I
S
-G
OAL
method for a problem. In this chapter we will som"
Suck,PERSON,4,,,":
In the two-cell world we defined three actions:
Suck,
move
Left,
and move
Right."
Backward,PERSON,1,,," the viewpoint of the agent—for example,
Forward, Backward, TurnRight,
and
TurnLeft."
TurnRight,ORG,2,,,"oint of the agent—for example,
Forward, Backward, TurnRight,
and
TurnLeft."
TurnLeft,PRODUCT,1,,,"nt—for example,
Forward, Backward, TurnRight,
and
TurnLeft."
Start,PRODUCT,6,,,"Description
A square labeled Start state has three rows and three columns. Row 1: Co"
Donald Knuth,PERSON,2,,,Our final standardized problem was devised by Donald Knuth (1964) and illustrates how infinite state spaces 
Knuth,ORG,2,,," illustrates how infinite state spaces can arise. Knuth conjectured that starting with the number 4, a se"
Boston,GPE,1,,,"ptimization algorithm for routing school buses in Boston saved $5 million, cut traffic and air pollution, "
Bertsimas,PERSON,1,,,"llution, and saved time for drivers and students (Bertsimas
et al.,
2019). In addition to planning trips, sea"
Automatic,GPE,2,,,"Automatic assembly sequencing
of complex objects (such as e"
Algorithms,PERSON,1,,,"3.3Search Algorithms
3.3
Search Algorithms
A
search algorithm
takes a "
"node
",PERSON,2,,,"ting
a new node (called a
child node
or
successor node
) for each of the resulting states. Each child nod"
Root node Arad,PERSON,3,,,"ed and all other nodes are in faint dashed lines. Root node Arad has three child nodes: Sibiu, Timisoara, and Zeri"
Node Sibiu,PERSON,3,,," three child nodes: Sibiu, Timisoara, and Zerind. Node Sibiu has four child nodes: Arad, Fagaras, Oradea, and "
Node Timisoara,PERSON,3,,,"nodes: Arad, Fagaras, Oradea, and Rimnicu Vilcea. Node Timisoara has two child nodes: Arad and Lugoj. Node Zerind "
Node Zerind,PERSON,3,,,de Timisoara has two child nodes: Arad and Lugoj. Node Zerind has two child nodes: Arad and Oradea. Search tree
node,GPE,51,,,"ated for it has been
reached
(whether or not that node has been expanded)."
Zerind,GPE,1,,,"escription
In all three parts, paths to Arad from Zerind, Sibiu, and Timisoara are highlighted and marked "
node,PERSON,1,,,reen-colored. The four paths between the lavender node and green nodes are colored in lavender. All othe
node,ORG,16,,,"3.3.1
Best-first search
How do we decide which node from the frontier to expand next? A very general "
XPAND,PERSON,1,,," its state is a goal state, and otherwise apply E
XPAND
to generate child nodes. Each child node is added"
Node,PERSON,17,,,"four binary trees have the root node labeled ""A"". Node ""A"" has two child nodes labeled B and C. Node B h"
C. Node,PERSON,3,,,"d ""A"". Node ""A"" has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has"
E. Node C,PERSON,3,,,B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Binary Tree 
F and G. Binary Tree 1,PRODUCT,1,,,"beled D and E. Node C has two child nodes labeled F and G. Binary Tree 1: Node ""A"" is green-colored and a right arrowhead "
Binary Tree 2,PERSON,1,,," other nodes and paths are in faint dashed lines. Binary Tree 2: Node ""A"" is lavender-colored. Nodes B and C are "
Binary Tree,PERSON,1,,," other nodes and paths are in faint dashed lines. Binary Tree 3: Nodes ""A"" and B are lavender-colored. Nodes C,"
Binary Tree 4: Nodes,PRODUCT,1,,," other nodes and paths are in faint dashed lines. Binary Tree 4: Nodes ""A"", B, and C are lavender-colored. Other nodes a"
Arad–Sibiu,ORG,1,,,"h
. For example, we can get to Sibiu via the path Arad–Sibiu (140 miles long) or the path Arad–Zerind–Oradea–S"
"Description
Sibiu",PERSON,1,,,"Description
Sibiu to Fagaras, 99. Fagaras to Bucharest, 211. Sibiu "
Bucharest,GPE,1,,,"Description
Sibiu to Fagaras, 99. Fagaras to Bucharest, 211. Sibiu to Rimnicu Vilcea, 80. Rimnicu Vilcea"
F,PRODUCT,23,,,beled D and E. Node C has two child nodes labeled F and G. Node D has two child nodes labeled H and I
G. Node,PERSON,2,,,D and E. Node C has two child nodes labeled F and G. Node D has two child nodes labeled H and I. Node E has
H,ORG,2,,,beled F and G. Node D has two child nodes labeled H and I. Node E has two child nodes labeled J and K
I. Node,PERSON,2,,,F and G. Node D has two child nodes labeled H and I. Node E has two child nodes labeled J and K. Node F has
L,PRODUCT,2,,,beled J and K. Node F has two child nodes labeled L and M. Node G has two child nodes labeled N and O
M. Node G,PERSON,2,,,J and K. Node F has two child nodes labeled L and M. Node G has two child nodes labeled N and O.
N,ORG,2,,,beled L and M. Node G has two child nodes labeled N and O.
I.,ORG,2,,,", and I are green-colored. An arrowhead points to I. The paths from “A” and B are solid lines. The pat"
J. The,ORG,2,,,", and K are green-colored. An arrowhead points to J. The paths from “A” and E are solid lines. The path be"
Nodes F and G,PRODUCT,3,,,ry Tree 10: Nodes “A” and C are lavender-colored. Nodes F and G are green-colored. An arrowhead points to F. The 
F and M,PRODUCT,2,,,tween “A” and C is a solid line. The path between F and M is a solid line. The path from F to L and node L 
Dijkstra,ORG,5,,,"3.4.2
Dijkstra’s algorithm or uniform-cost search
When actions h"
"3.4.3
Depth-first",PRODUCT,1,,,"3.4.3
Depth-first search and the problem of memory
Depth-first sear"
BFS,ORG,1,,,"
(IDS) = 50+400+3,000+20,000+100,000 = 123,450
N
(BFS) = 10+100+1,000+10,000+100,000 = 111,110,
If you "
"F
",PRODUCT,1,,,"function, one in the forward direction (subscript
F
) and one in the backward direction (subscript
B
)"
|V,ORG,1,,,"he state space (the number of vertices and edges, |V | + |
E
|)."
≥,PERSON,2,,,"2
complete if all action costs are ≥
ϵ
> 0;
3
cost-optimal if action costs are all ide"
"node
n",ORG,1,,,"mated cost of the cheapest path from the state at node
n
to a goal state."
Greedy,ORG,1,,,"3.5.1
Greedy best-first search
Greedy best-first search
is a form of best-first search "
SLD,ORG,10,,,"ght-line
distance
heuristic, which we will call
h
SLD
. If the goal is Bucharest, we need to know the s"
Node C,PERSON,2,,,Binary Tree 3: Node “A” is lavender-colored. Node C is green-colored. The path between nodes “A” and 
Node G,PERSON,1,,,ary Tree 7: Nodes “A” and C are lavender-colored. Node G is green-colored. The path between “A” and C is a
"Description
Arad",PERSON,1,,,"Description
Arad, 366. Bucharest, 0, Craiova, 160. Drobeta, 242. E"
Urziceni,ORG,1,,," Rimnicu Vilcea, 193. Sibiu, 253. Timisoara, 329. Urziceni, 80. Vaslui, 199. Zerind, 374."
g(n,ORG,1,,,"uation function
f
(
n
) =
g
(
n
) +
h
(
n
)
where
g(n)
is the path cost from the initial state to node
"
"node
n
",ORG,1,,,"e
g(n)
is the path cost from the initial state to node
n
, and
h
(
n
) is the
estimated
cost of the shortes"
Pitesti,ORG,3,,,"ay this is that there
might
be a solution through Pitesti whose cost is as low as 417, so the algorithm wil"
Timisoara 329,PERSON,3,,,"d to three green-colored nodes labeled Sibiu 253, Timisoara 329, and Zerind 374. An arrowhead points to Sibiu."
Zerind 374,PERSON,3,,,"lored nodes labeled Sibiu 253, Timisoara 329, and Zerind 374. An arrowhead points to Sibiu."
Arad 366,PERSON,4,,," is connected to four green-colored nodes labeled Arad 366, Fagaras 177, Oradea 380, and Rimnicu Vilcea 193."
Oradea 380,ORG,1,,,"reen-colored nodes labeled Arad 366, Fagaras 177, Oradea 380, and Rimnicu Vilcea 193. An arrowhead points to F"
Oradea 671,ORG,2,,,"ls 280 plus 366, Fagaras 415 equals 239 plus 176, Oradea 671 equals 291 plus 380, and Rimnicu Vilcea 413 equal"
Craiova 526,PRODUCT,1,,,"is connected to three green-colored nodes labeled Craiova 526 equals 366 plus 160, Pitesti 417 equals 317 plus "
Sibiu 591,ORG,1,,,d is connected to two green-colored nodes labeled Sibiu 591 equals 338 plus 253 and Bucharest 450 equals 450 
Bucharest 450,ORG,1,,,d nodes labeled Sibiu 591 equals 338 plus 253 and Bucharest 450 equals 450 plus 0. An arrowhead points to Pitesti
Pitesti under Rimnicu Vilcea,ORG,1,,,est 450 equals 450 plus 0. An arrowhead points to Pitesti under Rimnicu Vilcea.
Craiova 615,ORG,1,,,"ed nodes labeled Bucharest 418 equals 418 plus 0, Craiova 615 equals 455 plus 160, and Rimnicu Vilcea 607 equal"
Pitesti,PRODUCT,2,,,s 193. An arrowhead points to Bucharest under the Pitesti node.
Triangle,ORG,1,,,"×
Figure 3.19
Triangle inequality: If the heuristic
h
is
consistent
, th"
Felner,PERSON,2,,,"mplementers to avoid inconsistent heuristics, but Felner
et al."
Beam,ORG,2,,,"Beam search
limits the size of the frontier. The easie"
IDA,PERSON,6,,,"Iterative-deepening A
*
search
(IDA*) is to A* what iterative-deepening search is to "
RBFS,ORG,10,,,"
—the best
f
-value of its children. In this way, RBFS remembers the
f
-value of the best leaf in the fo"
Timisoara 447,PERSON,1,,,"66 is connected to three nodes labeled Sibiu 393, Timisoara 447, and Zerind 449. Timisoara and Zerind are green-c"
Craiova 526,PERSON,1,,,"Vilcea is connected to three green-colored nodes, Craiova 526, Pitesti 417, and Sibiu 553."
Sibiu 553,PERSON,2,,,"reen-colored nodes, Craiova 526, Pitesti 417, and Sibiu 553."
h(n,PERSON,3,,,"RBFS is optimal if the heuristic function
h(n)
is admissible. Its space complexity is linear in"
MA,PERSON,1,,,"to use all of it. Two algorithms that do this are
MA
* (memory-bounded A*) and
SMA
* (simplified MA*)."
MA*,PERSON,1,,,"re
MA
* (memory-bounded A*) and
SMA
* (simplified MA*). SMA* is—well—simpler, so we will describe it. S"
SMA,ORG,10,,,"*). SMA* is—well—simpler, so we will describe it. SMA* proceeds just like A*, expanding the best leaf u"
f(n,GPE,1,,,"idirectional best-first search, we saw that using
f(n)
=
g(n)
+
h
(
n
) as the evaluation function give"
Eckerle,GPE,1,,," efficiency will have to consider pairs of nodes (Eckerle
et al.,
2017)."
max,PERSON,3,,,"n follows the path to the goal as
l
b
(
m
,
n
) = max (
g
F
(
m
) +
g
B
(
n
),
f
F
(
m
),
f
B
(
n
))
In"
Goal,PERSON,5,,,"r circles in the first row are Start, “A”, F, and Goal. The four circles in the second row are C, B, D, "
Start,ORG,1,,,"f subscript 2 equals 10. Another solid arrow from Start to B is labeled 6. For B, f equals 8 equals 6 plu"
node F,PRODUCT,1,,,pt 2 equals 10. A dashed double-headed arrow from node F to “A” is labeled 2.
node F,PERSON,1,,,"es A and B are successors of Start; on the right, node F is an inverse successor of Goal. Each node is lab"
Start-A-F-Goal,ORG,1,,,"om anything in the figure.) The optimal solution, Start-A-F-Goal, has cost
C
* = 4 + 2 + 4 = 10, so that means tha"
Heuristic Functions,ORG,1,,,"3.6Heuristic Functions
3.6
Heuristic Functions
In this section, we look at how the accuracy of a"
Manhattan,GPE,10,,,"ances—sometimes called the
city-block distance
or
Manhattan distance
."
Korf,ORG,4,,,Korf and Reid (1998) argue that a better way to charac
Reid,PERSON,2,,,Korf and Reid (1998) argue that a better way to characterize th
Rubik’s Cube,ORG,3,,,"
) for an uninformed search. Their experiments on Rubik’s Cube and
n-
puzzle problems show that this formula giv"
Asterisk,PERSON,8,,,"as three rows and three columns. Row 1: Column 1, Asterisk. Column 2, 2. Column 3, 4. Row 2: Column 1, Aster"
Exercise,PRODUCT,1,,,"n. The heuristic derived from (b) is discussed in Exercise
3."
Prieditis,PERSON,2,,,"xed problem” method and various other techniques (Prieditis, 1993). A
BSOLVER
generated a new heuristic for t"
Berkeley,ORG,1,,,"the U.S., and we were trying to navigate from the Berkeley campus in California to NYU in New York, we could"
California,GPE,1,,,"re trying to navigate from the Berkeley campus in California to NYU in New York, we could take the shortcut be"
NYU,ORG,1,,,"avigate from the Berkeley campus in California to NYU in New York, we could take the shortcut between S"
New York,GPE,2,,," from the Berkeley campus in California to NYU in New York, we could take the shortcut between Sacramento an"
Sacramento,GPE,1,,,"U in New York, we could take the shortcut between Sacramento and Manhattan and cover 90% of the path in one ac"
−,GPE,6,,,"(
n
) =
min
L
∈
L
a
n
d
m
a
r
k
s
|
C
*
(
n
,
L
)
−
C
*
(
g
o
a
l
,
L
) |
This is called a
differenti"
Slocum,GPE,1,,,"5-puzzle, whose history is recounted at length by Slocum and Sonneveld (2006). In 1880, the 15-puzzle attr"
Johnson,PERSON,1,,,"oad attention from the public and mathematicians (Johnson and Story, 1879; Tait, 1880). The editors of the
"
Story,PERSON,1,,,"n from the public and mathematicians (Johnson and Story, 1879; Tait, 1880). The editors of the
American J"
Tait,PERSON,1,,,"blic and mathematicians (Johnson and Story, 1879; Tait, 1880). The editors of the
American Journal of Ma"
American Journal of Mathematics,ORG,1,,," and Story, 1879; Tait, 1880). The editors of the
American Journal of Mathematics
stated, “The ‘15’ puzzle for the last few weeks h"
The ‘15,WORK_OF_ART,1,,,"s of the
American Journal of Mathematics
stated, “The ‘15’ puzzle for the last few weeks has been prominent"
Weekly News-Democrat,ORG,1,,," ages and conditions of the community,” while the
Weekly News-Democrat
of Emporia, Kansas wrote on March 12, 1880 that “"
