实体原文,实体类型,出现次数,建议译法（人工填写）,校验结果（通过/修改）,上下文
Padgham,PERSON,1,,,"The whole-agent view is now widely accepted and is a central theme in recent texts (Padgham and Winikoff, 2004; Jones, 2007; Poole and Mackworth, 2017)."
Winikoff,PERSON,1,,,"The whole-agent view is now widely accepted and is a central theme in recent texts (Padgham and Winikoff, 2004; Jones, 2007; Poole and Mackworth, 2017)."
Jones,GPE,1,,,"The whole-agent view is now widely accepted and is a central theme in recent texts (Padgham and Winikoff, 2004; Jones, 2007; Poole and Mackworth, 2017)."
Poole,PRODUCT,1,,,"The whole-agent view is now widely accepted and is a central theme in recent texts (Padgham and Winikoff, 2004; Jones, 2007; Poole and Mackworth, 2017)."
Mackworth,PERSON,4,,,"The whole-agent view is now widely accepted and is a central theme in recent texts (Padgham and Winikoff, 2004; Jones, 2007; Poole and Mackworth, 2017)."
Jon Doyle,PERSON,1,,,"A paper by Jon Doyle (1983) predicted that rational agent design would come to be seen as the core mission of AI, while other popular topics would spin off to form new disciplines."
Dorf,ORG,1,,,"Careful attention to the properties of the environment and their consequences for rational agent design is most apparent in the control theory tradition—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deterministic environments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partially observable, stochastic environments; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments containing both discrete and continuous elements."
Bishop,ORG,5,,,"Careful attention to the properties of the environment and their consequences for rational agent design is most apparent in the control theory tradition—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deterministic environments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partially observable, stochastic environments; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments containing both discrete and continuous elements."
Kirk,GPE,1,,,"Careful attention to the properties of the environment and their consequences for rational agent design is most apparent in the control theory tradition—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deterministic environments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partially observable, stochastic environments; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments containing both discrete and continuous elements."
Kumar,GPE,1,,,"Careful attention to the properties of the environment and their consequences for rational agent design is most apparent in the control theory tradition—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deterministic environments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partially observable, stochastic environments; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments containing both discrete and continuous elements."
Varaiya,GPE,1,,,"Careful attention to the properties of the environment and their consequences for rational agent design is most apparent in the control theory tradition—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deterministic environments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partially observable, stochastic environments; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments containing both discrete and continuous elements."
Bertsekas,GPE,1,,,"Careful attention to the properties of the environment and their consequences for rational agent design is most apparent in the control theory tradition—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deterministic environments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partially observable, stochastic environments; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments containing both discrete and continuous elements."
Henzinger and Sastry,ORG,1,,,"Careful attention to the properties of the environment and their consequences for rational agent design is most apparent in the control theory tradition—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deterministic environments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partially observable, stochastic environments; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments containing both discrete and continuous elements."
Cassandras,PERSON,1,,,"Careful attention to the properties of the environment and their consequences for rational agent design is most apparent in the control theory tradition—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deterministic environments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partially observable, stochastic environments; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments containing both discrete and continuous elements."
Lygeros,GPE,1,,,"Careful attention to the properties of the environment and their consequences for rational agent design is most apparent in the control theory tradition—for example, classical control systems (Dorf and Bishop, 2004; Kirk, 2004) handle fully observable, deterministic environments; stochastic optimal control (Kumar and Varaiya, 1986; Bertsekas and Shreve, 2007) handles partially observable, stochastic environments; and hybrid control (Henzinger and Sastry, 1998; Cassandras and Lygeros, 2006) deals with environments containing both discrete and continuous elements."
Rosenschein,PERSON,1,,,(Rosenschein (1985) and Brooks (1986) questioned this assumption; see Chapter 26. )
Brooks,ORG,1,,,(Rosenschein (1985) and Brooks (1986) questioned this assumption; see Chapter 26. )
Bar-Shalom,ORG,1,,,A great deal of work has gone into finding efficient algorithms for keeping track of complex environments (Bar-Shalom et al.
Choset,PRODUCT,1,,,", 2001; Choset et al."
Shoham,PERSON,1,,,"A full logical analysis of goal-based agents appeared in Genesereth and Nilsson (1987), and a goal-based programming methodology called agent-oriented programming was developed by Shoham (1993)."
Ciancarini and Wooldridge,ORG,1,,,"The agent-based approach is now extremely popular in software engineering (Ciancarini and Wooldridge, 2001)."
Kephart,ORG,1,,,"It has also infiltrated the area of operating systems, where autonomic computing refers to computer systems and networks that monitor and control themselves with a perceive–act loop and machine learning methods (Kephart and Chess, 2003)."
Problem Solving,PERSON,1,,,"The goal-based view of agents also dominates the cognitive psychology tradition in the area of problem solving, beginning with the enormously influential Human Problem Solving (Newell and Simon, 1972) and running through all of Newell’s later work (Newell, 1990)."
Michael Bratman,PERSON,1,,,"Goals, further analyzed as desires (general) and intentions (currently pursued), are central to the influential theory of agents developed by Michael Bratman (1987)."
Feldman,PERSON,1,,,"In AI, early research eschewed utilities in favor of goals, with some exceptions (Feldman and Sproull, 1977)."
Sproull,PERSON,1,,,"In AI, early research eschewed utilities in favor of goals, with some exceptions (Feldman and Sproull, 1977)."
Horvitz,ORG,1,,,The resurgence of interest in probabilistic methods in the 1980s led to the acceptance of maximization of expected utility as the most general framework for decision making (Horvitz et al.
Sutton,GPE,1,,,"The formalization of reinforcement learning within a decision-theoretic framework also contributed to this shift (Sutton, 1988)."
Hadfield-Menell,ORG,1,,,"Somewhat remarkably, almost all AI research until very recently has assumed that the performance measure can be exactly and correctly specified in the form of a utility function or reward function (Hadfield-Menell et al."
Mitchell,PERSON,3,,,", 1978; Mitchell, 1997)."
Huhns,ORG,1,,,Some early papers on agent-based approaches are collected by Huhns and Singh (1998) and Wooldridge and Rao (1999).
Singh,GPE,1,,,Some early papers on agent-based approaches are collected by Huhns and Singh (1998) and Wooldridge and Rao (1999).
Wooldridge,ORG,2,,,Some early papers on agent-based approaches are collected by Huhns and Singh (1998) and Wooldridge and Rao (1999).
Rao,PERSON,1,,,Some early papers on agent-based approaches are collected by Huhns and Singh (1998) and Wooldridge and Rao (1999).
Weiss,ORG,1,,,"Texts on multiagent systems provide a good introduction to many aspects of agent design (Weiss, 2000a; Wooldridge, 2009)."
the International Workshop on Agent Theories,ORG,1,,,"Several conference series devoted to agents began in the 1990s, including the International Workshop on Agent Theories, Architectures, and Languages (ATAL), the International Conference on Autonomous Agents (AGENTS), and the International Conference on Multi-Agent Systems (ICMAS)."
the International Conference on Autonomous Agents,ORG,1,,,"Several conference series devoted to agents began in the 1990s, including the International Workshop on Agent Theories, Architectures, and Languages (ATAL), the International Conference on Autonomous Agents (AGENTS), and the International Conference on Multi-Agent Systems (ICMAS)."
the International Conference on Multi-Agent Systems,ORG,1,,,"Several conference series devoted to agents began in the 1990s, including the International Workshop on Agent Theories, Architectures, and Languages (ATAL), the International Conference on Autonomous Agents (AGENTS), and the International Conference on Multi-Agent Systems (ICMAS)."
the International Joint Conference on Autonomous Agents,ORG,1,,,"In 2002, these three merged to form the International Joint Conference on Autonomous Agents and Multi-Agent Systems (AAMAS)."
AOSE,ORG,1,,,From 2000 to 2012 there were annual workshops on Agent-Oriented Software Engineering (AOSE).
Autonomous Agents,ORG,1,,,The journal Autonomous Agents and Multi-Agent Systems was founded in 1998.
Hanski and Cambefort,PERSON,1,,,"Finally, Dung Beetle Ecology (Hanski and Cambefort, 1991) provides a wealth of interesting information on the behavior of dung beetles."
N. Henderson,PERSON,1,,,"3See N. Henderson, “New door latches urged for Boeing 747 jumbo jets, ” Washington Post, August 24, 1989."
Boeing,ORG,1,,,"3See N. Henderson, “New door latches urged for Boeing 747 jumbo jets, ” Washington Post, August 24, 1989."
747,PRODUCT,1,,,"3See N. Henderson, “New door latches urged for Boeing 747 jumbo jets, ” Washington Post, August 24, 1989."
Washington Post,ORG,1,,,"3See N. Henderson, “New door latches urged for Boeing 747 jumbo jets, ” Washington Post, August 24, 1989."
Chapters 7,GPE,1,,,Agents that use factored or structured representations of states are called planning agents and are discussed in Chapters 7 and 11.
Appendix A. 3,PERSON,1,,,Readers unfamiliar with these concepts should consult Appendix A.
Romania,GPE,19,,,1Problem-Solving Agents Imagine an agent enjoying a touring vacation in Romania.
Arad,GPE,19,,,"Now, suppose the agent is currently in the city of Arad and has a nonrefundable ticket to fly out of Bucharest the following day."
Arad,PERSON,35,,,"The agent observes street signs and sees that there are three roads leading out of Arad: one toward Sibiu, one to Timisoara, and one to Zerind."
Sibiu,GPE,14,,,"The agent observes street signs and sees that there are three roads leading out of Arad: one toward Sibiu, one to Timisoara, and one to Zerind."
Timisoara,PERSON,16,,,"The agent observes street signs and sees that there are three roads leading out of Arad: one toward Sibiu, one to Timisoara, and one to Zerind."
Zerind,PERSON,17,,,"The agent observes street signs and sees that there are three roads leading out of Arad: one toward Sibiu, one to Timisoara, and one to Zerind."
Iasi,GPE,2,,,"Neamt to Iasi, 87."
Valsui,ORG,1,,,"Iasi to Valsui, 92."
Vaslui,PERSON,2,,,"Vaslui to Urziceni, 142."
Hirsova,ORG,3,,,"Urziceni to Hirsova, 98."
Eforie,GPE,1,,,"Hirsova to Eforie, 86."
Bucharest,ORG,11,,,"Urziceni to Bucharest, 85."
Giurgiu,GPE,1,,,"Bucharest to Giurgiu, 90."
Fagaras,GPE,3,,,"Bucharest to Fagaras, 211."
Craiova,GPE,4,,,"Pitesti to Craiova, 138."
Oradea,ORG,12,,,"Sibiu to Oradea, 151."
Lugoj,ORG,10,,,"Timisoara to Lugoj, 111."
Mehadia,GPE,4,,,"Lugoj to Mehadia, 70."
Drobeta,PERSON,5,,,"Mehadia to Drobeta, 75."
Sibiu,PERSON,38,,,"It is an important property that in a fully observable, deterministic, known environment, the solution to any problem is a fixed sequence of actions: drive to Sibiu, then Fagaras, then Bucharest."
Road Closed,WORK_OF_ART,1,,,"For example, the agent might plan to drive from Arad to Sibiu but might need a contingency plan in case it arrives in Zerind by accident or finds a sign saying “Drum Închis” (Road Closed)."
ACTION-COST(S,GPE,1,,,"RESULT(s, a) returns the state that results from doing action a in state s. For example, •An action cost function, denoted by ACTION-COST(S, a, sʹ) when we are programming or c(s, a, sʹ) when we are doing math, that gives the numeric cost of applying action a in state s to reach state sʹ."
Left,ORG,1,,,"•Actions: In the two-cell world we defined three actions: Suck, move Left, and move Right."
Backward,PERSON,1,,,"We could add Upward and Downward, giving us four absolute movement actions, or we could switch to egocentric actions, defined relative to the viewpoint of the agent—for example, Forward, Backward, TurnRight, and TurnLeft."
TurnRight,ORG,2,,,"We could add Upward and Downward, giving us four absolute movement actions, or we could switch to egocentric actions, defined relative to the viewpoint of the agent—for example, Forward, Backward, TurnRight, and TurnLeft."
Start,PRODUCT,6,,,Description A square labeled Start state has three rows and three columns.
"Left, Right",WORK_OF_ART,1,,,"•Actions: While in the physical world it is a tile that slides, the simplest way of describing an action is to think of the blank space moving Left, Right, Up, or Down."
Down,PERSON,4,,,"•Actions: While in the physical world it is a tile that slides, the simplest way of describing an action is to think of the blank space moving Left, Right, Up, or Down."
Donald Knuth,PERSON,2,,,Our final standardized problem was devised by Donald Knuth (1964) and illustrates how infinite state spaces can arise.
Knuth,ORG,2,,,"Knuth conjectured that starting with the number 4, a sequence of square root, floor, and factorial operations can reach any desired positive integer."
Boston,GPE,1,,,"For example, a search and optimization algorithm for routing school buses in Boston saved $5 million, cut traffic and air pollution, and saved time for drivers and students (Bertsimas et al."
Bertsimas,PERSON,1,,,"For example, a search and optimization algorithm for routing school buses in Boston saved $5 million, cut traffic and air pollution, and saved time for drivers and students (Bertsimas et al."
VLSI,ORG,4,,,"A VLSI layout problem requires positioning millions of components and connections on a chip to minimize area, minimize circuit delays, minimize stray capacitances, and maximize manufacturing yield."
Automatic,GPE,2,,,Automatic assembly sequencing of complex objects (such as electric motors) by a robot has been standard industry practice since the 1970s.
Algorithms A,PERSON,1,,,"3Search Algorithms A search algorithm takes a search problem as input and returns a solution, or an indication of failure."
node,PERSON,2,,,"We can expand the node, by considering the available ACTIONS for that state, using the RESULT function to see where those actions lead to, and generating a new node (called a child node or successor node) for each of the resulting states."
Description Search,PERSON,1,,,Description Search tree 1: The root node is lavender-colored and all other nodes are in faint dashed lines.
Root node Arad,PERSON,3,,,"Root node Arad has three child nodes: Sibiu, Timisoara, and Zerind."
Node Sibiu,PERSON,3,,,"Node Sibiu has four child nodes: Arad, Fagaras, Oradea, and Rimnicu Vilcea."
Node Timisoara,PERSON,3,,,Node Timisoara has two child nodes: Arad and Lugoj.
Node Zerind,PERSON,3,,,Node Zerind has two child nodes: Arad and Oradea.
node,GPE,50,,,We say that any state that has had a node generated for it has been reached (whether or not that node has been expanded).
Zerind,GPE,1,,,"Description In all three parts, paths to Arad from Zerind, Sibiu, and Timisoara are highlighted and marked in red."
node,ORG,17,,,1Best-first search How do we decide which node from the frontier to expand next?
f(n,GPE,15,,,"A very general approach is called best-first search, in which we choose a node, n, with minimum value of some evaluation function, f(n)."
Node,PERSON,16,,,"Node ""A"" has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Binary Tree 1: Node ""A"" is green-colored and a right arrowhead points to node ""A""."
C. Node,PERSON,3,,,"Node ""A"" has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Binary Tree 1: Node ""A"" is green-colored and a right arrowhead points to node ""A""."
E. Node C,PERSON,3,,,"Node ""A"" has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Binary Tree 1: Node ""A"" is green-colored and a right arrowhead points to node ""A""."
F and G. Binary Tree 1,PRODUCT,1,,,"Node ""A"" has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Binary Tree 1: Node ""A"" is green-colored and a right arrowhead points to node ""A""."
Binary Tree 2,PERSON,5,,,"Binary Tree 2: Node ""A"" is lavender-colored."
Binary Tree,PERSON,10,,,"Binary Tree 3: Nodes ""A"" and B are lavender-colored."
Binary Tree 4: Nodes,PRODUCT,4,,,"Binary Tree 4: Nodes ""A"", B, and C are lavender-colored."
Search,ORG,1,,,2Search data structures Search algorithms require a data structure to keep track of the search tree.
PATH-COST,ORG,1,,,"In mathematical formulas, we use g(node) as a synonym for PATH-COST."
PARENT,GPE,1,,,Following the PARENT pointers back from a node allows us to recover the states and actions along the path to that node.
Arad–Sibiu,ORG,1,,,"For example, we can get to Sibiu via the path Arad–Sibiu (140 miles long) or the path Arad–Zerind–Oradea–Sibiu (297 miles long)."
e. g. Arad,PERSON,1,,,"In finite state spaces that is straightforward to achieve: as long as we keep track of paths and cut off ones that are cycles (e. g. Arad to Sibiu to Arad), eventually we will reach every reachable state."
|V| + |E|,PERSON,1,,,"In theoretical computer science, the typical measure is the size of the state-space graph, |V| + |E|, where |V| is the number of vertices (state nodes) of the graph and |E| is the number of edges (distinct state/action pairs)."
|V|,PERSON,1,,,"In theoretical computer science, the typical measure is the size of the state-space graph, |V| + |E|, where |V| is the number of vertices (state nodes) of the graph and |E| is the number of edges (distinct state/action pairs)."
Description Sibiu,PERSON,1,,,"Description Sibiu to Fagaras, 99."
Bucharest,GPE,1,,,"Fagaras to Bucharest, 211."
F,PRODUCT,16,,,Node “A” has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Node D has two child nodes labeled H and I. Node E has two child nodes labeled J and K. Node F has two child nodes labeled L and M. Node G has two child nodes labeled N and O. Binary Tree 1: Node “A” is green-colored.
G. Node,PERSON,2,,,Node “A” has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Node D has two child nodes labeled H and I. Node E has two child nodes labeled J and K. Node F has two child nodes labeled L and M. Node G has two child nodes labeled N and O. Binary Tree 1: Node “A” is green-colored.
H,ORG,3,,,Node “A” has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Node D has two child nodes labeled H and I. Node E has two child nodes labeled J and K. Node F has two child nodes labeled L and M. Node G has two child nodes labeled N and O. Binary Tree 1: Node “A” is green-colored.
I. Node,PERSON,2,,,Node “A” has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Node D has two child nodes labeled H and I. Node E has two child nodes labeled J and K. Node F has two child nodes labeled L and M. Node G has two child nodes labeled N and O. Binary Tree 1: Node “A” is green-colored.
L,PRODUCT,2,,,Node “A” has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Node D has two child nodes labeled H and I. Node E has two child nodes labeled J and K. Node F has two child nodes labeled L and M. Node G has two child nodes labeled N and O. Binary Tree 1: Node “A” is green-colored.
M. Node G,PERSON,2,,,Node “A” has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Node D has two child nodes labeled H and I. Node E has two child nodes labeled J and K. Node F has two child nodes labeled L and M. Node G has two child nodes labeled N and O. Binary Tree 1: Node “A” is green-colored.
N,ORG,4,,,Node “A” has two child nodes labeled B and C. Node B has two child nodes labeled D and E. Node C has two child nodes labeled F and G. Node D has two child nodes labeled H and I. Node E has two child nodes labeled J and K. Node F has two child nodes labeled L and M. Node G has two child nodes labeled N and O. Binary Tree 1: Node “A” is green-colored.
Binary Tree 5: Nodes,PRODUCT,2,,,"Binary Tree 5: Nodes “A”, B, and D are lavender-colored."
I.,ORG,2,,,An arrowhead points to I.
Binary Tree 7: Nodes,ORG,3,,,"Binary Tree 7: Nodes “A”, B, and E are lavender-colored."
J. The,ORG,2,,,An arrowhead points to J.
Binary Tree 9,PRODUCT,2,,,Binary Tree 9: Node “A” is lavender-colored and node C is green-colored.
Binary Tree,ORG,2,,,Binary Tree 10: Nodes “A” and C are lavender-colored.
Nodes F and G,PRODUCT,3,,,Nodes F and G are green-colored.
Binary Tree 11,PRODUCT,2,,,"Binary Tree 11: Nodes “A”, C, and F are lavender-colored."
Binary Tree 12,PRODUCT,2,,,"Binary Tree 12: Nodes “A”, C, and F are lavender-colored."
F and M,PRODUCT,2,,,The path between F and M is a solid line.
Dijkstra,ORG,3,,,"This is called Dijkstra’s algorithm by the theoretical computer science community, and uniform-cost search by the AI community."
O(bl,GPE,2,,,The time complexity is O(bl) and the space complexity is O(bl).
TERMINATED,ORG,1,,,"Therefore, we keep track of the best solution found so far, and might have to update that several times before the TERMINATED test proves that there is no possible better solution remaining."
Bidirectional,PERSON,2,,,14 Bidirectional best-first search keeps two frontiers and two tables of reached states.
|V,ORG,1,,,"For graph searches which do check, the main differences are that depth-first search is complete for finite state spaces, and the space and time complexities are bounded by the size of the state space (the number of vertices and edges, |V | + |E|)."
≥,PERSON,2,,,2 complete if all action costs are ≥ ϵ > 0; 3 cost-optimal if action costs are all identical; 4 if both directions are breadth-first or uniform-cost.
h(n,PERSON,15,,,"The hints come in the form of a heuristic function, denoted h(n): 10 h(n) = estimated cost of the cheapest path from the state at node n to a goal state."
node n,ORG,2,,,"The hints come in the form of a heuristic function, denoted h(n): 10 h(n) = estimated cost of the cheapest path from the state at node n to a goal state."
ACTIONS,ORG,1,,,"Notice that the values of hSLD cannot be computed from the problem description itself (that is, the ACTIONS and RESULT functions)."
Binary Tree 1,PRODUCT,1,,,Binary Tree 1: An arrowhead points to “A”.
Binary Tree 2,PRODUCT,1,,,Binary Tree 2: Node “A” is faded out.
Node C,PERSON,2,,,Node C is green-colored.
Binary Tree 4,PRODUCT,1,,,Binary Tree 4: All nodes and paths are faded out.
Binary Tree 5,PRODUCT,1,,,Binary Tree 5: Node “A” is lavender-colored.
Node G,PERSON,1,,,Node G is green-colored.
Binary Tree 8,PRODUCT,1,,,Binary Tree 8: All nodes and paths are faded out.
Description Arad,PERSON,1,,,"Description Arad, 366."
Urziceni,ORG,1,,,"Urziceni, 80."
O(|V|,GPE,1,,,The worst-case time and space complexity is O(|V|).
g(n,ORG,14,,,"2A* search The most common informed search algorithm is A* search (pronounced “A-star search”), a best-first search that uses the evaluation function where g(n) is the path cost from the initial state to node n, and h(n) is the estimated cost of the shortest path from n to a goal state, so we have In Figure 3."
Pitesti,ORG,3,,,"Another way to say this is that there might be a solution through Pitesti whose cost is as low as 417, so the algorithm will not settle for a solution that costs 450."
Timisoara 329,PERSON,3,,,"The Arad node is lavender-colored and is connected to three green-colored nodes labeled Sibiu 253, Timisoara 329, and Zerind 374."
Zerind 374,PERSON,3,,,"The Arad node is lavender-colored and is connected to three green-colored nodes labeled Sibiu 253, Timisoara 329, and Zerind 374."
Arad 366,PERSON,4,,,"Sibiu is connected to four green-colored nodes labeled Arad 366, Fagaras 177, Oradea 380, and Rimnicu Vilcea 193."
Oradea 380,ORG,1,,,"Sibiu is connected to four green-colored nodes labeled Arad 366, Fagaras 177, Oradea 380, and Rimnicu Vilcea 193."
Oradea 671,ORG,2,,,"The Sibiu node is now lavender-colored and is connected to four green-colored nodes labeled Arad 646 equals 280 plus 366, Fagaras 415 equals 239 plus 176, Oradea 671 equals 291 plus 380, and Rimnicu Vilcea 413 equals 220 plus 193."
Craiova 526,PRODUCT,1,,,"The Rimnicu Vilcea node is now lavender-colored and is connected to three green-colored nodes labeled Craiova 526 equals 366 plus 160, Pitesti 417 equals 317 plus 100, and Sibiu 553 equals 300 plus 253."
Sibiu 591,ORG,1,,,The Fagaras node under the Sibiu node is now lavender-colored and is connected to two green-colored nodes labeled Sibiu 591 equals 338 plus 253 and Bucharest 450 equals 450 plus 0.
Bucharest 450,ORG,1,,,The Fagaras node under the Sibiu node is now lavender-colored and is connected to two green-colored nodes labeled Sibiu 591 equals 338 plus 253 and Bucharest 450 equals 450 plus 0.
Pitesti under Rimnicu Vilcea,ORG,1,,,An arrowhead points to Pitesti under Rimnicu Vilcea.
Craiova 615,ORG,1,,,"The node Pitesti is now lavender-colored and is connected to three green-colored nodes labeled Bucharest 418 equals 418 plus 0, Craiova 615 equals 455 plus 160, and Rimnicu Vilcea 607 equals 414 plus 193."
Pitesti,PRODUCT,2,,,An arrowhead points to Bucharest under the Pitesti node.
Triangle,ORG,1,,,"19 Triangle inequality: If the heuristic h is consistent, then the single number h(n) will be less than the sum of the cost c(n, a, aʹ) of the action from n to nʹ plus the heuristic estimate h(nʹ)."
Felner et al,PERSON,1,,,"These complications have led many implementers to avoid inconsistent heuristics, but Felner et al."
≤,PERSON,1,,,"Inside the contour labeled 400, all nodes have f(n) = g(n) + h(n) ≤ 400, and so on."
≤ c(n,PERSON,1,,,"Canceling out the g(n) term, we see that the path’s cost will be monotonically increasing if and only if h(n) ≤ c(n, a, n') + h(n'); in other words if and only if the heuristic is consistent."
IDA,PERSON,4,,,"Iterative-deepening A* search (IDA*) is to A* what iterative-deepening search is to depth-first: IDA* gives us the benefits of A* without the requirement to keep all reached states in memory, at a cost of visiting some states multiple times."
RBFS,ORG,8,,,"In this way, RBFS remembers the f-value of the best leaf in the forgotten subtree and can therefore decide whether it’s worth reexpanding the subtree at some later time."
Description Part,PERSON,3,,,"Description Part (“A”): After expanding Pitesti, Sibiu, and Rimnicu Vilcea."
Timisoara 447,PERSON,1,,,"A node labeled Arad 366 is connected to three nodes labeled Sibiu 393, Timisoara 447, and Zerind 449."
Craiova 526,PERSON,1,,,"Rimnicu Vilcea is connected to three green-colored nodes, Craiova 526, Pitesti 417, and Sibiu 553."
Sibiu 553,PERSON,2,,,"Rimnicu Vilcea is connected to three green-colored nodes, Craiova 526, Pitesti 417, and Sibiu 553."
SMA,ORG,11,,,Two algorithms that do this are MA* (memory-bounded A*) and SMA* (simplified MA*).
MA*,PERSON,1,,,Two algorithms that do this are MA* (memory-bounded A*) and SMA* (simplified MA*).
Eckerle et al.,PERSON,1,,,"With bidirectional search, it turns out that it is not individual nodes but rather pairs of nodes (one from each frontier) that can be proved to be surely expanded, so any proof of efficiency will have to consider pairs of nodes (Eckerle et al."
Goal,PERSON,5,,,"The four circles in the first row are Start, “A”, F, and Goal."
Start,ORG,1,,,Another solid arrow from Start to B is labeled 6.
node F,PRODUCT,1,,,A dashed double-headed arrow from node F to “A” is labeled 2.
node F,PERSON,1,,,"24 Bidirectional search maintains two frontiers: on the left, nodes A and B are successors of Start; on the right, node F is an inverse successor of Goal."
Start-A-F-Goal,ORG,1,,,"The optimal solution, Start-A-F-Goal, has cost C* = 4 + 2 + 4 = 10, so that means that a meet-in-the-middle bidirectional algorithm should not expand any node with g > = 5; and indeed the next node to be expanded would be A or F (each with g=4), leading us to an optimal solution."
f2,PERSON,1,,,"If we expanded the node with lowest f cost first, then B and C would come next, and D and E would be tied with A, but they all have g > and thus are never expanded when f2 is the evaluation function."
•h2,ORG,1,,,•h2 = the sum of the distances of the tiles from their goal positions.
Manhattan,GPE,10,,,"Because tiles cannot move along diagonals, the distance is the sum of the horizontal and vertical distances—sometimes called the city-block distance or Manhattan distance."
N + 1 nodes,PRODUCT,1,,,"If the total number of nodes generated by A* for a particular problem is N and the solution depth is d, then b* is the branching factor that a uniform tree of depth d would have to have in order to contain N + 1 nodes."
Korf,PERSON,7,,,Korf and Reid (1998) argue that a better way to characterize the effect of A* pruning with a given heuristic h is that it reduces the effective depth by a constant kh compared to the true depth.
Reid,PERSON,2,,,Korf and Reid (1998) argue that a better way to characterize the effect of A* pruning with a given heuristic h is that it reduces the effective depth by a constant kh compared to the true depth.
Rubik’s Cube,ORG,2,,,Their experiments on Rubik’s Cube and n-puzzle problems show that this formula gives accurate predictions for total search cost for sampled problem instances across a wide range of solution lengths—at least for solution lengths larger than kh.
Asterisk,PERSON,8,,,"Row 1: Column 1, Asterisk."
Y.,PERSON,3,,,"14 For example, if the 8-puzzle actions are described as A tile can move from square X to square Y if X is adjacent to Y and Y is blank, we can generate three relaxed problems by removing one or both of the conditions: (a) A tile can move from square X to square Y if X is adjacent to Y."
ABSOLVER,ORG,1,,,"A program called ABSOLVER can generate heuristics automatically from problem definitions, using the “relaxed problem” method and various other techniques (Prieditis, 1993)."
Prieditis,PERSON,2,,,"A program called ABSOLVER can generate heuristics automatically from problem definitions, using the “relaxed problem” method and various other techniques (Prieditis, 1993)."
ABSOLVER,PERSON,1,,,ABSOLVER generated a new heuristic for the 8-puzzle that was better than any preexisting heuristic and found the first useful heuristic for the famous Rubik’s Cube puzzle.
max{h1(n,PERSON,1,,,"As it turns out, we can have the best of all worlds, by defining h(n) = max{h1(n), ."
L.,PERSON,1,,,"Then for each landmark L and for each other vertex v in the graph, we compute and store C* (v, L), the exact cost of the optimal path from v to L. (We also need C* (L, v); on an undirected graph this is the same as C* (v, L); on a directed graph—e."
