术语,出现次数,领域分类,建议译法（人工填写）,校验结果（通过/修改）
acktrack,3,通用术语,,
minimum-remaining-values,3,通用术语,,
eliminates,3,通用术语,,
forward-checking,3,通用术语,,
backtracks,3,通用术语,,
detects,3,通用术语,,
directional,3,通用术语,,
ree,3,通用术语,,
-csp-s,3,通用术语,,
cycle-cutset,3,通用术语,,
gauss,3,通用术语,,
apt,3,通用术语,,
hoeve,3,通用术语,,
kondrak,3,通用术语,,
worthy,2,通用术语,,
kai-fu,2,通用术语,,
lee,2,通用术语,,
predicts,2,通用术语,,
older,2,通用术语,,
galileo,2,通用术语,,
opening,2,通用术语,,
ranging,2,通用术语,,
human-like,2,通用术语,,
hypothesis,2,通用术语,,
discusses,2,通用术语,,
adapt,2,通用术语,,
passing,2,通用术语,,
quest,2,通用术语,,
inventor,2,通用术语,,
stopped,2,通用术语,,
bird,2,通用术语,,
pigeon,2,通用术语,,
—observing,2,通用术语,,
imaging,2,通用术语,,
timing,2,通用术语,,
wilson,2,通用术语,,
comment,2,通用术语,,
confusion,2,通用术语,,
argue,2,通用术语,,
semantic,2,通用术语,,
shed,2,通用术语,,
syllogism,2,通用术语,,
socrates,2,通用术语,,
govern,2,通用术语,,
logician,2,通用术语,,
19th,2,通用术语,,
so-called,2,通用术语,,
logicist,2,通用术语,,
pursue,2,通用术语,,
stove,2,通用术语,,
skill,2,通用术语,,
improves,2,通用术语,,
imitate,2,通用术语,,
pervasive,2,通用术语,,
inception,2,通用术语,,
incurs,2,通用术语,,
injury,2,通用术语,,
equipment,2,通用术语,,
strict,2,通用术语,,
staying,2,通用术语,,
moderate,2,通用术语,,
aligned,2,通用术语,,
viable,2,通用术语,,
winning,2,通用术语,,
audience,2,通用术语,,
inadequate,2,通用术语,,
transfer,2,通用术语,,
incentive,2,通用术语,,
brief,2,通用术语,,
organize,2,通用术语,,
governing,2,通用术语,,
ramon,2,通用术语,,
llull,2,通用术语,,
blaise,2,通用术语,,
pascal,2,通用术语,,
leibniz,2,通用术语,,
thomas,2,通用术语,,
arguing,2,通用术语,,
heart,2,通用术语,,
nerve,2,通用术语,,
numerical,2,通用术语,,
descartes,2,通用术语,,
conception,2,通用术语,,
room,2,通用术语,,
dualism,2,通用术语,,
constitutes,2,通用术语,,
establish,2,通用术语,,
empiricism,2,通用术语,,
bacon,2,通用术语,,
novum,2,通用术语,,
organum,2,通用术语,,
hume,2,通用术语,,
treatise,2,通用术语,,
induction,2,通用术语,,
bertrand,2,通用术语,,
vienna,2,通用术语,,
meeting,2,通用术语,,
doctrine,2,通用术语,,
positivism,2,通用术语,,
carnap,2,通用术语,,
carl,2,通用术语,,
confirm,2,通用术语,,
disconfirm,2,通用术语,,
justified,2,通用术语,,
argued,2,通用术语,,
motion,2,通用术语,,
proposition,2,通用术语,,
nicomachean,2,通用术语,,
quantitative,2,通用术语,,
subjective,2,通用术语,,
mill,2,通用术语,,
promoted,2,通用术语,,
utilitarianism,2,通用术语,,
sphere,2,通用术语,,
behalf,2,通用术语,,
consequentialism,2,通用术语,,
outweighs,2,通用术语,,
adopt,2,通用术语,,
ancient,2,通用术语,,
india,2,通用术语,,
china,2,通用术语,,
gottlob,2,通用术语,,
pierre,2,通用术语,,
formalization,2,通用术语,,
london,2,通用术语,,
fisher,2,通用术语,,
statistician,2,通用术语,,
ross,2,通用术语,,
gӧdel,2,通用术语,,
computable,2,通用术语,,
proposes,2,通用术语,,
computability,2,通用术语,,
tractability,2,通用术语,,
grows,2,通用术语,,
edmonds,2,通用术语,,
press,2,通用术语,,
accordance,2,通用术语,,
along,2,通用术语,,
nation,2,通用术语,,
financial,2,通用术语,,
greed,2,通用术语,,
sentiment,2,通用术语,,
dealt,2,通用术语,,
trading,2,通用术语,,
maximization,2,通用术语,,
proposing,2,通用术语,,
pronounced,2,通用术语,,
morgenstern,2,通用术语,,
offer,2,通用术语,,
immediate,2,通用术语,,
emerged,2,通用术语,,
war,2,通用术语,,
pioneering,2,通用术语,,
decision-theoretic,2,通用术语,,
nervous,2,通用术语,,
appreciated,2,通用术语,,
blow,2,通用术语,,
somehow,2,通用术语,,
proportion,2,通用术语,,
consciousness,2,通用术语,,
broca,2,通用术语,,
golgi,2,通用术语,,
cajal,2,通用术语,,
neuronal,2,通用术语,,
electrochemical,2,通用术语,,
soma,2,通用术语,,
contact,2,通用术语,,
synapsis,2,通用术语,,
indicates,2,通用术语,,
propagated,2,通用术语,,
reaction,2,通用术语,,
cortex,2,通用术语,,
layer,2,通用术语,,
diameter,2,通用术语,,
han,2,通用术语,,
neuroscientist,2,通用术语,,
augmented,2,通用术语,,
electrical,2,通用术语,,
crick,2,通用术语,,
interface,2,通用术语,,
adjust,2,通用术语,,
treating,2,通用术语,,
organ,2,通用术语,,
informative,2,通用术语,,
feldman,2,通用术语,,
physicist,2,通用术语,,
handbook,2,通用术语,,
physiology,2,通用术语,,
went,2,通用术语,,
rejected,2,通用术语,,
reliable,2,通用术语,,
information-processing,2,通用术语,,
bartlett,2,通用术语,,
pressure,2,通用术语,,
conclude,2,通用术语,,
react,2,通用术语,,
dealing,2,通用术语,,
competent,2,通用术语,,
manner,2,通用术语,,
magic,2,通用术语,,
psychologist,2,通用术语,,
anderson,2,通用术语,,
hci,2,通用术语,,
pioneer,2,通用术语,,
championed,2,通用术语,,
augmentation,2,通用术语,,
believed,2,通用术语,,
augment,2,通用术语,,
mouse,2,通用术语,,
coin,2,通用术语,,
former,2,通用术语,,
emphasizing,2,通用术语,,
operational,2,通用术语,,
tube,2,通用术语,,
programmable,2,通用术语,,
zuse,2,通用术语,,
forerunner,2,通用术语,,
trend,2,通用术语,,
captured,2,通用术语,,
doubled,2,通用术语,,
convergence,2,通用术语,,
tpu,2,通用术语,,
train,2,通用术语,,
subclass,2,通用术语,,
earliest,2,通用术语,,
17th,2,通用术语,,
punched,2,通用术语,,
instruction,2,通用术语,,
completed,2,通用术语,,
ambitious,2,通用术语,,
debt,2,通用术语,,
interpreter,2,通用术语,,
management,2,通用术语,,
cybernetics,2,通用术语,,
water,2,通用术语,,
living,2,通用术语,,
biological,2,通用术语,,
rosenblueth,2,通用术语,,
challenged,2,通用术语,,
arising,2,通用术语,,
warren,2,通用术语,,
grey,2,通用术语,,
elaborated,2,通用术语,,
founder,2,通用术语,,
coupling,2,通用术语,,
algebra,2,通用术语,,
fell,2,通用术语,,
syntactic,2,通用术语,,
pointed,2,通用术语,,
indian,2,通用术语,,
programmed,2,通用术语,,
intersecting,2,通用术语,,
award,2,通用术语,,
encode,2,通用术语,,
judea,2,通用术语,,
geoffrey,2,通用术语,,
lecun,2,通用术语,,
multilayer,2,通用术语,,
critical,2,通用术语,,
phase,2,通用术语,,
inspired,2,通用术语,,
whitehead,2,通用术语,,
conceived,2,通用术语,,
adequate,2,通用术语,,
hebb,2,通用术语,,
modifying,2,通用术语,,
strength,2,通用术语,,
princeton,2,通用术语,,
ph.d.,2,通用术语,,
skeptical,2,通用术语,,
warned,2,通用术语,,
nathaniel,2,通用术语,,
rochester,2,通用术语,,
net,2,通用术语,,
attendee,2,通用术语,,
carnegie,2,通用术语,,
proposal,2,通用术语,,
conjecture,2,通用术语,,
theorem-proving,2,通用术语,,
venerable,2,通用术语,,
principia,2,通用术语,,
told,2,通用术语,,
enthusiasm,2,通用术语,,
demonstrating,2,通用术语,,
era,2,通用术语,,
subgoals,2,通用术语,,
meant,2,通用术语,,
composed,2,通用术语,,
prover,2,通用术语,,
quite,2,通用术语,,
exploratory,2,通用术语,,
checker,2,通用术语,,
amateur,2,通用术语,,
creator,2,通用术语,,
trouble,2,通用术语,,
testing,2,通用术语,,
plant,2,通用术语,,
axiom,2,通用术语,,
competence,2,通用术语,,
sri,2,通用术语,,
microworlds,2,通用术语,,
slagle,2,通用术语,,
aint,2,通用术语,,
analogy,2,通用术语,,
customer,2,通用术语,,
advertisement,2,通用术语,,
home,2,通用术语,,
hrdlu,2,通用术语,,
promising,2,通用术语,,
appreciation,2,通用术语,,
intractability,2,通用术语,,
colorful,2,通用术语,,
political,2,通用术语,,
ambition,2,通用术语,,
neural-net,2,通用术语,,
back-propagation,2,通用术语,,
enormous,2,通用术语,,
weak,2,通用术语,,
expertise,2,通用术语,,
well-known,2,通用术语,,
substructure,2,通用术语,,
ketone,2,通用术语,,
subgroup,2,通用术语,,
recognizing,2,通用术语,,
infection,2,通用术语,,
deduced,2,通用术语,,
extensive,2,通用术语,,
associated,2,通用术语,,
incorporated,2,通用术语,,
mcdermott,2,通用术语,,
relied,2,通用术语,,
syntax,2,通用术语,,
upset,2,通用术语,,
serve,2,通用术语,,
japan,2,通用术语,,
mid-1980s,2,通用术语,,
reinvented,2,通用术语,,
connectionist,2,通用术语,,
characteristic,2,通用术语,,
19th-century,2,通用术语,,
inspection,2,通用术语,,
incorporating,2,通用术语,,
relevance,2,通用术语,,
shared,2,通用术语,,
corpus,2,通用术语,,
handwritten,2,通用术语,,
isolationism,2,通用术语,,
abandoned,2,通用术语,,
fragile,2,通用术语,,
ensures,2,通用术语,,
character,2,通用术语,,
sutton,2,通用术语,,
checker-playing,2,通用术语,,
applications—for,2,通用术语,,
filling,2,通用术语,,
clever,2,通用术语,,
pixel,2,通用术语,,
deng,2,通用术语,,
sparked,2,通用术语,,
lag,2,通用术语,,
relies,2,通用术语,,
ai100,2,通用术语,,
stone,2,通用术语,,
substantial,2,通用术语,,
healthcare,2,通用术语,,
treatment,2,通用术语,,
determining,2,通用术语,,
deploy,2,通用术语,,
equality,2,通用术语,,
highlight,2,通用术语,,
20-fold,2,通用术语,,
privacy,2,通用术语,,
professor,2,通用术语,,
female,2,通用术语,,
hire,2,通用术语,,
seeing,2,通用术语,,
fastest,2,通用术语,,
growing,2,通用术语,,
large-scale,2,通用术语,,
dropped,2,通用术语,,
restricted,2,通用术语,,
quake,2,通用术语,,
dota,2,通用术语,,
starcraft,2,通用术语,,
skin,2,通用术语,,
interview,2,通用术语,,
demonstration,2,通用术语,,
darpa,2,通用术语,,
grand,2,通用术语,,
urban,2,通用术语,,
stepping,2,通用术语,,
providing,2,通用术语,,
cross-country,2,通用术语,,
maneuver,2,通用术语,,
slow,2,通用术语,,
puddle,2,通用术语,,
terrain,2,通用术语,,
nasa,2,通用术语,,
remote,2,通用术语,,
daily,2,通用术语,,
cargo,2,通用术语,,
agency,2,通用术语,,
reading,2,通用术语,,
microsoft,2,通用术语,,
matching,2,通用术语,,
conversation,2,通用术语,,
real-time,2,通用术语,,
assistant,2,通用术语,,
carrying,2,通用术语,,
recommendation,2,通用术语,,
youtube,2,通用术语,,
zhang,2,通用术语,,
spam,2,通用术语,,
filtering,2,通用术语,,
email,2,通用术语,,
beat,2,通用术语,,
god,2,通用术语,,
vinyals,2,通用术语,,
impressive,2,通用术语,,
drink,2,通用术语,,
medicine,2,通用术语,,
metastatic,2,通用术语,,
professional,2,通用术语,,
partnership,2,通用术语,,
hurt,2,通用术语,,
summarized,2,通用术语,,
product,2,通用术语,,
cure,2,通用术语,,
incur,2,通用术语,,
lethal,2,通用术语,,
intervention,2,通用术语,,
surveillance,2,通用术语,,
feed,2,通用术语,,
biased,2,通用术语,,
employment,2,通用术语,,
labor,2,通用术语,,
safety-critical,2,通用术语,,
societal,2,通用术语,,
perpetrate,2,通用术语,,
mischief,2,通用术语,,
regulation,2,通用术语,,
grind,2,通用术语,,
broader,2,通用术语,,
focusing,2,通用术语,,
striving,2,通用术语,,
symposium,2,通用术语,,
superintelligence,2,通用术语,,
butler,2,通用术语,,
martin,2,通用术语,,
superintelligent,2,通用术语,,
essence,2,通用术语,,
asked,2,通用术语,,
touched,2,通用术语,,
touching,2,通用术语,,
unfortunate,2,通用术语,,
material,2,通用术语,,
inverse,2,通用术语,,
establishes,2,通用术语,,
introducing,2,通用术语,,
acm,2,通用术语,,
european,2,通用术语,,
magazine,2,通用术语,,
tutorial,2,通用术语,,
ijcai,2,通用术语,,
transaction,2,通用术语,,
deprived,2,通用术语,,
outline,2,通用术语,,
resisted,2,通用术语,,
—those,2,通用术语,,
scruffies,2,通用术语,,
richard,2,通用术语,,
existence,2,通用术语,,
ear,2,通用术语,,
file,2,通用术语,,
packet,2,通用术语,,
displaying,2,通用术语,,
tabulation,2,通用术语,,
occupies,2,通用术语,,
evaluates,2,通用术语,,
avoided,2,通用术语,,
cleanliness,2,通用术语,,
fine,2,通用术语,,
accept,2,通用术语,,
copy,2,通用术语,,
priori,2,通用术语,,
stay,2,通用术语,,
asks,2,通用术语,,
walking,2,通用术语,,
engaged,2,通用术语,,
foot,2,通用术语,,
door,2,通用术语,,
crossing,2,通用术语,,
gathering,2,通用术语,,
gather,2,通用术语,,
nest,2,通用术语,,
drag,2,通用术语,,
enter,2,通用术语,,
innate,2,通用术语,,
learns,2,通用术语,,
incorporation,2,通用术语,,
fuel,2,通用术语,,
violation,2,通用术语,,
lane,2,通用术语,,
california,2,通用术语,,
screen,2,通用术语,,
sketched,2,通用术语,,
arow,2,通用术语,,
inaccurate,2,通用术语,,
achievable,2,通用术语,,
crossword,2,通用术语,,
blowing,2,通用术语,,
collision,2,通用术语,,
parking,2,通用术语,,
emerges,2,通用术语,,
avoids,2,通用术语,,
rain,2,通用术语,,
tomorrow,2,通用术语,,
defective,2,通用术语,,
passage,2,通用术语,,
semidynamic,2,通用术语,,
continuous-state,2,通用术语,,
angle,2,通用术语,,
intensity,2,通用术语,,
knowing,2,通用术语,,
owner,2,通用术语,,
medical-diagnosis,2,通用术语,,
modeled,2,通用术语,,
handling,2,通用术语,,
drawn,2,通用术语,,
riven,2,通用术语,,
lookup,2,通用术语,,
atom,2,通用术语,,
convert,2,通用术语,,
alternating,2,通用术语,,
braking.,2,通用术语,,
established,2,通用术语,,
car-in-front-is-braking,2,通用术语,,
implementing,2,通用术语,,
nonlinear,2,通用术语,,
taillight,2,通用术语,,
unavoidable,2,通用术语,,
outperform,2,通用术语,,
randomization,2,通用术语,,
thereby,2,通用术语,,
tate,2,通用术语,,
twist,2,通用术语,,
assigns,2,通用术语,,
expects,2,通用术语,,
possesses,2,通用术语,,
requiring,2,通用术语,,
ingenious,2,通用术语,,
willing,2,通用术语,,
dropping,2,通用术语,,
successive,2,通用术语,,
incoming,2,通用术语,,
settle,2,通用术语,,
ensuring,2,通用术语,,
real-valued,2,通用术语,,
cow,2,通用术语,,
false,2,通用术语,,
finite-state,2,通用术语,,
automaton,2,通用术语,,
drawback,2,通用术语,,
localist,2,通用术语,,
transmission,2,通用术语,,
recall,2,通用术语,,
doyle,2,通用术语,,
kumar,2,通用术语,,
gone,2,通用术语,,
fikes,2,通用术语,,
agent-oriented,2,通用术语,,
agent-based,2,通用术语,,
biggest,2,通用术语,,
classic,2,通用术语,,
henderson,2,通用术语,,
electric,2,通用术语,,
relaxes,2,通用术语,,
sight,2,通用术语,,
observes,2,通用术语,,
neamt,2,通用术语,,
vaslui,2,通用术语,,
eforie,2,通用术语,,
giurgiu,2,通用术语,,
adopts,2,通用术语,,
limiting,2,通用术语,,
simplicity,2,通用术语,,
denoted,2,通用术语,,
ction,2,通用术语,,
numeric,2,通用术语,,
additive,2,通用术语,,
prevents,2,通用术语,,
turnright,2,通用术语,,
turnleft,2,通用术语,,
facing,2,通用术语,,
sliding-tile,2,通用术语,,
rush,2,通用术语,,
partition,2,通用术语,,
corner,2,通用术语,,
sliding,2,通用术语,,
manipulation,2,通用术语,,
operator,2,通用术语,,
straightforward,2,通用术语,,
extension,2,通用术语,,
delay,2,通用术语,,
travel-planning,2,通用术语,,
segment,2,通用术语,,
salesperson,2,通用术语,,
school,2,通用术语,,
shop,2,通用术语,,
overlap,2,通用术语,,
protein,2,通用术语,,
three-dimensional,2,通用术语,,
option,2,通用术语,,
superimposed,2,通用术语,,
horizontal,2,通用术语,,
separation,2,通用术语,,
arent,2,通用术语,,
insert,2,通用术语,,
first-in-first-out,2,通用术语,,
e.g,2,通用术语,,
rare,2,通用术语,,
evolving,2,通用术语,,
clue,2,通用术语,,
indicated,2,通用术语,,
least-cost,2,通用术语,,
replaces,2,通用术语,,
caught,2,通用术语,,
proceeds,2,通用术语,,
back,2,通用术语,,
cheapest,2,通用术语,,
marking,2,通用术语,,
descendant,2,通用术语,,
remembers,2,通用术语,,
picking,2,通用术语,,
visiting,2,通用术语,,
id,2,通用术语,,
repetition,2,通用术语,,
erminated,2,通用术语,,
prof,2,通用术语,,
hint,2,通用术语,,
second-best,2,通用术语,,
band,2,通用术语,,
spreading,2,通用术语,,
visit,2,通用术语,,
locality,2,通用术语,,
unbounded-cost,2,通用术语,,
duplication,2,通用术语,,
easiest,2,通用术语,,
-score,2,通用术语,,
mimic,2,通用术语,,
continuing,2,通用术语,,
f-limit,2,通用术语,,
ancestor,2,通用术语,,
worth,2,通用术语,,
bulk,2,通用术语,,
regeneration,2,通用术语,,
struck,2,通用术语,,
switching,2,通用术语,,
backed,2,通用术语,,
worthwhile,2,通用术语,,
forced,2,通用术语,,
eckerle,2,通用术语,,
touch,2,通用术语,,
sample,2,通用术语,,
bounding,2,通用术语,,
well-designed,2,通用术语,,
reid,2,通用术语,,
tie,2,通用术语,,
invent,2,通用术语,,
obtain,2,通用术语,,
prieditis,2,通用术语,,
composite,2,通用术语,,
highway,2,通用术语,,
kilometer,2,通用术语,,
pane,2,通用术语,,
expense,2,通用术语,,
amortized,2,通用术语,,
15-puzzles,2,通用术语,,
star,2,通用术语,,
precomputation,2,通用术语,,
one-way,2,通用术语,,
navigate,2,通用术语,,
york,2,通用术语,,
differential,2,通用术语,,
log,2,通用术语,,
wedge,2,通用术语,,
laid,2,通用术语,,
object-level,2,通用术语,,
alters,2,通用术语,,
depicting,2,通用术语,,
subtrees,2,通用术语,,
adjusted,2,通用术语,,
simplifying,2,通用术语,,
age,2,通用术语,,
march,2,通用术语,,
generic,2,通用术语,,
diophantine,2,通用术语,,
undecidable,2,通用术语,,
lawler,2,通用术语,,
lin,2,通用术语,,
arora,2,通用术语,,
dreyfus,2,通用术语,,
floyd–warshall,2,通用术语,,
martelli,2,通用术语,,
raphael,2,通用术语,,
doran,2,通用术语,,
hart,2,通用术语,,
wilt,2,通用术语,,
coarse-to-fine,2,通用术语,,
branch-and-bound,2,通用术语,,
zhou,2,通用术语,,
relaxation,2,通用术语,,
investigated,2,通用术语,,
apologize,2,通用术语,,
pedagogical,2,通用术语,,
zero-cost,2,通用术语,,
odd,2,通用术语,,
traditional,2,通用术语,,
descent,2,通用术语,,
rising,2,通用术语,,
ascent,2,通用术语,,
terminates,2,通用术语,,
complete-state,2,通用术语,,
attacking,2,通用术语,,
topology,2,通用术语,,
plane,2,通用术语,,
intuitive,2,通用术语,,
succeeds,2,通用术语,,
percentage,2,通用术语,,
converges,2,通用术语,,
first-choice,2,通用术语,,
vulnerable,2,通用术语,,
glass,2,通用术语,,
cooling,2,通用术语,,
shake,2,通用术语,,
bounce,2,通用术语,,
simulated-annealing,2,通用术语,,
8-digit,2,通用术语,,
metaphor,2,通用术语,,
biology,2,通用术语,,
depicts,2,通用术语,,
randomly,2,通用术语,,
darwin,2,通用术语,,
wherein,2,通用术语,,
adaptation,2,通用术语,,
nowlan,2,通用术语,,
griffith,2,通用术语,,
antenna,2,通用术语,,
job-shop,2,通用术语,,
miikkulainen,2,通用术语,,
recompute,2,通用术语,,
incrementing,2,通用术语,,
hessian,2,通用术语,,
derivative,2,通用术语,,
moment,2,通用术语,,
high-dimensional,2,通用术语,,
observe,2,通用术语,,
esults,2,通用术语,,
if–then–else,2,通用术语,,
alternate,2,通用术语,,
enclosing,2,通用术语,,
outgoing,2,通用术语,,
incarnation,2,通用术语,,
antibiotic,2,通用术语,,
superset,2,通用术语,,
discard,2,通用术语,,
unsolvable,2,通用术语,,
maze-like,2,通用术语,,
possible-percepts,2,通用术语,,
border,2,通用术语,,
kindergarten,2,通用术语,,
self-loop,2,通用术语,,
maintenance,2,通用术语,,
estimation,2,通用术语,,
thin,2,通用术语,,
redict,2,通用术语,,
corridor,2,通用术语,,
faulty,2,通用术语,,
explorer,2,通用术语,,
irreversible,2,通用术语,,
distant,2,通用术语,,
randomness,2,通用术语,,
reuse,2,通用术语,,
unchanged,2,通用术语,,
well-formed,2,通用术语,,
zero,2,通用术语,,
minton,2,通用术语,,
selman,2,通用术语,,
popularity,2,通用术语,,
revisited,2,通用术语,,
heavy-tailed,2,通用术语,,
stützle,2,通用术语,,
kirkpatrick,2,通用术语,,
metropolis,2,通用术语,,
yang,2,通用术语,,
colony,2,通用术语,,
nemirovski,2,通用术语,,
holland,2,通用术语,,
koza,2,通用术语,,
fogel,2,通用术语,,
poli,2,通用术语,,
bonet,2,通用术语,,
geffner,2,通用术语,,
opposed,2,通用术语,,
rel,2,通用术语,,
participate,2,通用术语,,
mid,2,通用术语,,
row-wise,2,通用术语,,
violates,2,通用术语,,
assert,2,通用术语,,
install,2,通用术语,,
tighten,2,通用术语,,
nut,2,通用术语,,
affix,2,通用术语,,
precedence,2,通用术语,,
jobshop,2,通用术语,,
variables—the,2,通用术语,,
hubble,2,通用术语,,
telescope,2,通用术语,,
finish,2,通用术语,,
australian,2,通用术语,,
nary,2,通用术语,,
transformation,2,通用术语,,
morning,2,通用术语,,
afternoon,2,通用术语,,
slot,2,通用术语,,
eliminated,2,通用术语,,
tightens,2,通用术语,,
triple,2,通用术语,,
path-consistent,2,通用术语,,
2-consistency,2,通用术语,,
3-consistency,2,通用术语,,
deleting,2,通用术语,,
propagating,2,通用术语,,
infer,2,通用术语,,
pc-2,2,通用术语,,
naked,2,通用术语,,
knight,2,通用术语,,
rder,2,通用术语,,
omain,2,通用术语,,
alues,2,通用术语,,
impose,2,通用术语,,
acktracking,2,通用术语,,
domain-independent,2,通用术语,,
fewest,2,通用术语,,
fail-first,2,通用术语,,
propagate,2,通用术语,,
pruned,2,通用术语,,
backjump,2,通用术语,,
absorbs,2,通用术语,,
conf,2,通用术语,,
no-goods,2,通用术语,,
conflicted,2,通用术语,,
onflicts,2,通用术语,,
topological,2,通用术语,,
santwa,2,通用术语,,
haken,2,通用术语,,
popularized,2,通用术语,,
waltz,2,通用术语,,
haralick,2,通用术语,,
elliott,2,通用术语,,
barták,2,通用术语,,
katriel,2,通用术语,,
frost,2,通用术语,,
stallman,2,通用术语,,
sussman,2,通用术语,,
back-jumping,2,通用术语,,
backmarking,2,通用术语,,
subsumes,2,通用术语,,
tsang,2,通用术语,,
relating,2,通用术语,,
bayardo,2,通用术语,,
embarking,1,通用术语,,
homo,1,通用术语,,
sapiens,1,通用术语,,
—man,1,通用术语,,
wise—because,1,通用术语,,
handful,1,通用术语,,
entities—machines,1,通用术语,,
novel,1,通用术语,,
rank,1,通用术语,,
fastest-growing,1,通用术语,,
revenue,1,通用术语,,
mankind.,1,通用术语,,
feel,1,通用术语,,
curie,1,通用术语,,
einstein,1,通用术语,,
full-time,1,通用术语,,
mastermind,1,通用术语,,
encompasses,1,通用术语,,
poetry,1,通用术语,,
fidelity,1,通用术语,,
thing.,1,通用术语,,
varies,1,通用术语,,
dimensions—human,1,通用术语,,
adherent,1,通用术语,,
pursuit,1,通用术语,,
rationalist,1,通用术语,,
disparaged,1,通用术语,,
sidestep,1,通用术语,,
vagueness,1,通用术语,,
interrogator,1,通用术语,,
posing,1,通用术语,,
hears,1,通用术语,,
extrapolate,1,通用术语,,
unnecessary,1,通用术语,,
believing,1,通用术语,,
succeeded,1,通用术语,,
imitating,1,通用术语,,
wind,1,通用术语,,
tunnel,1,通用术语,,
aerodynamics,1,通用术语,,
aeronautical,1,通用术语,,
fool,1,通用术语,,
pigeons.,1,通用术语,,
—trying,1,通用术语,,
input–output,1,通用术语,,
interdisciplinary,1,通用术语,,
testable,1,通用术语,,
fascinating,1,通用术语,,
encyclopedia,1,通用术语,,
keil,1,通用术语,,
similarity,1,通用术语,,
experimentation,1,通用术语,,
incorporates,1,通用术语,,
neurophysiological,1,通用术语,,
neuroimaging,1,通用术语,,
ascertain,1,通用术语,,
inner,1,通用术语,,
codify,1,通用术语,,
irrefutable,1,通用术语,,
men,1,通用术语,,
sextus,1,通用术语,,
empiricus,1,通用术语,,
supposed,1,通用术语,,
politics,1,通用术语,,
warfare,1,通用术语,,
agere,1,通用术语,,
persist,1,通用术语,,
prolonged,1,通用术语,,
deduce,1,通用术语,,
recoiling,1,通用术语,,
hot,1,通用术语,,
deliberation,1,通用术语,,
comprehensible,1,通用术语,,
erudition,1,通用术语,,
amenable,1,通用术语,,
it—something,1,通用术语,,
prevailed,1,通用术语,,
attain,1,通用术语,,
nutshell,1,通用术语,,
paradigm,1,通用术语,,
prevails,1,通用术语,,
welfare,1,通用术语,,
rationality—always,1,通用术语,,
action—is,1,通用术语,,
demand,1,通用术语,,
—acting,1,通用术语,,
shortest-path,1,通用术语,,
in—so,1,通用术语,,
errant,1,通用术语,,
garage,1,通用术语,,
incurring,1,通用术语,,
annoy,1,通用术语,,
problematic,1,通用术语,,
human–robot,1,通用术语,,
alignment,1,通用术语,,
simulator—as,1,通用术语,,
reset,1,通用术语,,
returning,1,通用术语,,
unproblematic,1,通用术语,,
confines,1,通用术语,,
rus,1,通用术语,,
hypnotizing,1,通用术语,,
blackmailing,1,通用术语,,
bribing,1,通用术语,,
rustling,1,通用术语,,
hijack,1,通用术语,,
unintelligent,1,通用术语,,
insane,1,通用术语,,
sole,1,通用术语,,
misbehave,1,通用术语,,
permission,1,通用术语,,
defer,1,通用术语,,
ignores,1,通用术语,,
fruition,1,通用术语,,
ar,1,通用术语,,
rotated,1,通用术语,,
permutation,1,通用术语,,
leonardo,1,通用术语,,
vinci,1,通用术语,,
reconstruction,1,通用术语,,
schickard,1,通用术语,,
pascaline,1,通用术语,,
nearer,1,通用术语,,
animals.,1,通用术语,,
gottfried,1,通用术语,,
leviathan,1,通用术语,,
hobbes,1,通用术语,,
spring,1,通用术语,,
wheels.,1,通用术语,,
reckoning,1,通用术语,,
subtracting.,1,通用术语,,
emulate,1,通用术语,,
rené,1,通用术语,,
governed,1,通用术语,,
proponent,1,通用术语,,
soul,1,通用术语,,
spirit,1,通用术语,,
exempt,1,通用术语,,
possess,1,通用术语,,
materialism,1,通用术语,,
physicalism,1,通用术语,,
naturalism,1,通用术语,,
supernatural,1,通用术语,,
manipulates,1,通用术语,,
dictum,1,通用术语,,
locke,1,通用术语,,
senses.,1,通用术语,,
exposure,1,通用术语,,
ludwig,1,通用术语,,
wittgenstein,1,通用术语,,
sigmund,1,通用术语,,
rationalism,1,通用术语,,
confirmation,1,通用术语,,
rudolf,1,通用术语,,
hempel,1,通用术语,,
attempted,1,通用术语,,
acquisition,1,通用术语,,
quantifying,1,通用术语,,
vital,1,通用术语,,
justifiable,1,通用术语,,
motu,1,通用术语,,
animalium,1,通用术语,,
unchanging,1,通用术语,,
speculative,1,通用术语,,
elaborates,1,通用术语,,
heal,1,通用术语,,
orator,1,通用术语,,
persuade,1,通用术语,,
attained,1,通用术语,,
impossibility,1,通用术语,,
got,1,通用术语,,
regression,1,通用术语,,
dominated,1,通用术语,,
inapplicable,1,通用术语,,
antoine,1,通用术语,,
jeremy,1,通用术语,,
bentham,1,通用术语,,
stuart,1,通用术语,,
immanuel,1,通用术语,,
kant,1,通用术语,,
rule-based,1,通用术语,,
deontological,1,通用术语,,
kill.,1,通用术语,,
utilitarian,1,通用术语,,
kantian,1,通用术语,,
lying,1,通用术语,,
acknowledged,1,通用术语,,
compiled,1,通用术语,,
first-principles,1,通用术语,,
staked,1,通用术语,,
leap,1,通用术语,,
mathematization,1,通用术语,,
greece,1,通用术语,,
gödel,1,通用术语,,
underpinned,1,通用术语,,
generalizing,1,通用术语,,
information—a,1,通用术语,,
gerolamo,1,通用术语,,
cardano,1,通用术语,,
framed,1,通用术语,,
fermat,1,通用术语,,
